,SONG_ID,SONG_TITLE,happy,sad,relaxed,angry,pred
271,33120545,Panorama,0.8374188,0.05657491,0.07933459,0.026671575,0
272,33150990,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",0.316166,0.0091349045,0.6537065,0.020992722,2
273,33161306,걱정말아요 그대,0.0062803035,0.54230314,0.4301196,0.021297079,1
274,33193808,한(寒),0.037912384,0.67435056,0.050749645,0.23698759,1
275,33193809,화(火花),0.37059852,0.17318985,0.39251074,0.063700765,2
276,33196773,초혼,0.22785607,0.013746765,0.36598215,0.39241502,3
277,33214206,사랑스러워,0.06465912,0.28067568,0.6373489,0.017316254,2
278,33223214,사임쌓임,0.039340567,0.05344256,0.8997873,0.007429337,2
279,33239419,Celebrity,0.12844521,0.10265134,0.74900275,0.019900432,2
280,33247490,술 한잔 해요,0.038716532,0.35543537,0.57510686,0.030741392,2
281,33248758,추억은 만남보다 이별에 남아,0.04156554,0.5970104,0.14713524,0.21428874,1
282,33333793,멜로디,0.24158564,0.31212705,0.349744,0.09654344,2
283,33333797,그랑프리 (Feat. Beenzino),0.6495454,0.08427704,0.22941095,0.03676645,0
284,33359725,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",0.011848267,0.16298048,0.8211848,0.0039865365,2
285,33372787,아이와 나의 바다,0.089541875,0.50438005,0.27365074,0.13242744,1
286,33372788,어푸 (Ah puh),0.06716798,0.083197914,0.8420691,0.00756494,2
287,33397561,ASAP,0.6831203,0.1465243,0.12900564,0.04134993,0
288,33434340,소주 한 잔 (Live ver.),0.05140213,0.58037025,0.21046104,0.15776643,1
289,33458666,응급실 (2021),0.06416822,0.5653651,0.27620953,0.09425709,1
290,33464805,Dun Dun Dance,0.641976,0.029590575,0.2712192,0.057213947,0
291,33480898,신호등,0.16622467,0.22243987,0.4202489,0.19108656,2
292,33487342,Next Level,0.28874114,0.061312333,0.5722568,0.07768962,2
293,33487708,WE GO,0.7058328,0.009946668,0.21828566,0.06593502,0
294,33507137,Butter,0.72252953,0.007544623,0.25528118,0.014644483,0
295,33510307,상상더하기,0.40503412,0.035069082,0.25248957,0.30740732,0
296,33510308,체념,0.009505473,0.76469666,0.20735404,0.018443756,1
297,33559180,Alcohol-Free,0.3547679,0.079482354,0.5175236,0.048226107,2
298,33571535,추적이는 여름 비가 되어,0.09396837,0.25652212,0.20462428,0.44488522,3
299,33580129,봄봄봄,0.030465249,0.532175,0.40695688,0.030402837,1
300,33608401,YOUTH,0.21947584,0.067964576,0.524763,0.18779658,2
301,33623210,Bad Habits,0.3115743,0.19744602,0.4573027,0.03367712,2
302,33655994,Weekend,0.19279166,0.07048883,0.71055734,0.026162358,2
303,33691794,좋아좋아,0.07320835,0.30177963,0.44504535,0.17996669,2
304,33725775,낙하 (with 아이유),0.35394862,0.011572453,0.6274525,0.007026481,2
305,33759183,비가 오는 날엔 (2021),0.0028181586,0.67750406,0.31923953,0.00043823035,1
306,33772329,고백,0.02680182,0.6409708,0.17984311,0.15238413,1
307,33808429,abcdefu,0.32707024,0.17791824,0.35248086,0.14253081,2
308,33847596,Dancing Queen,0.48871434,0.009068661,0.07924254,0.42297444,0
309,33878014,시간을 거슬러 (낮에 뜨는 달 X 케이윌),0.043332703,0.47347742,0.41249606,0.07069372,1
310,33978183,너를 생각해,0.022740578,0.46565917,0.49567848,0.01592178,2
311,33999025,LOCO,0.6755697,0.033836402,0.22132336,0.0692704,0
312,34041584,Savage,0.64870006,0.025747629,0.26584998,0.059702393,0
313,34061322,사랑은 늘 도망가,0.016342971,0.7353112,0.11488072,0.13346496,1
